fahrzeug_id,hubraum,kw,ps,co2,nox,treibstoff,marke,modell
1538WDB4632761X3,3982,430,584,0,0,Benzin,Mercedes,G-Klasse
109WBY51EJ030CL6,4395,457,622,0,0,Benzin,BMW,i-Reihe
108WBY51EJ030CL6,4395,457,622,0,0,Benzin,BMW,i7
3642SALWA2BE6NA7,4999,423,575,331,0,Benzin,Land Rover,Range Rover Sport
3640SALWA2BE6NA7,4999,423,575,331,0,Benzin,Land Rover,""
988WBY51EJ060CL4,0,0,0,0,0,Elektro,BMW,i7
987WBY51EJ060CL4,0,0,0,0,0,Elektro,BMW,i-Reihe
3732WBY51EJ020CL,0,400,544,0,0,Elektro,BMW,i-Reihe
3733WBY51EJ020CL,0,400,544,0,0,Elektro,BMW,i7
1133WBY51EJ020CL,0,0,0,0,0,Elektro,BMW,i-Reihe
1130WBY51EJ020CL,0,0,0,0,0,Elektro,BMW,i7
2841WBSDZ01010CE,4395,460,625,256,0.013,Benzin,BMW,8er
755WBY51EJ050CL6,0,0,0,0,0,Elektro,BMW,i-Reihe
752WBY51EJ050CL6,0,0,0,0,0,Elektro,BMW,i7
1001WBAJU410109N,4395,390,530,270,0.011,Benzin,BMW,X5
254WBY51EJ070CL6,0,135,184,0,0,Elektro,BMW,i-Reihe
253WBY51EJ070CL6,0,135,184,0,0,Elektro,BMW,i7
596WBS31BA080CJ3,2993,375,510,232,0.017,Benzin,BMW,M4
1031WBAJU410509P,4395,390,530,270,0,Benzin,BMW,X5
2889WBACY810209D,0,390,530,279,0,Benzin,BMW,X6
1334WBATC610909M,2993,250,340,188,0,Diesel,BMW,X6
679WBA21EM0609N6,2998,280,381,238,0.004,Benzin,BMW,x7
3373WBY21CF050CM,0,385,524,0,0,Elektro,BMW PKW i-Serie,i-Serie
3372WBY21CF050CM,0,385,524,0,0,Elektro,BMW PKW i-Serie,iX
1425WBATB410809M,0,250,340,210,0.028,Diesel,BMW,X7
1414WBATC610809J,0,250,340,188,0,Diesel,BMW,X6
230WBY51EJ010CL5,0.01,400,544,0,0,Elektro,BMW,i7
232WBY51EJ010CL5,0.01,400,544,0,0,Elektro,BMW,i-Reihe
1109SADCA2BE0MA6,0,404,549,275,0,Benzin,Jaguar,F-Pace
295WBY2Z610407F3,1499,275,374,50,0,Hybrid,BMW PKW i-Serie,i8
1336WBA7R81030CG,4395,390,530,243,0,Benzin,BMW,7er
522WBY21CF040CM3,0,385,524,0,0,Elektro,BMW PKW i-Serie,i-Serie
523WBY21CF040CM3,0,385,524,0,0,Elektro,BMW PKW i-Serie,iX
1479WBATB410509J,2993,250,340,210,0.028,Diesel,BMW,X7
20WBACY610009P33,2998,245,333,216,0,Benzin,BMW,X6
52WBSGV010X0CE23,4395,441,600,255,0.013,Benzin,BMW,M8
591WBS31BA080CJ3,2993,375,510,232,0.017,Benzin,BMW,M4
714WBY21CF090CM2,0,140,190,0,0,Elektro,BMW PKW i-Serie,iX
715WBY21CF090CM2,0,140,190,0,0,Elektro,BMW PKW i-Serie,i-Serie
