fahrzeug_id,preis,date
1538WDB4632761X3,260700,20221129
109WBY51EJ030CL6,180697,20230912
108WBY51EJ030CL6,180697,20230912
3642SALWA2BE6NA7,179300,0
3640SALWA2BE6NA7,179300,0
988WBY51EJ060CL4,179188,20230331
987WBY51EJ060CL4,179188,20230331
3732WBY51EJ020CL,176000,0
3733WBY51EJ020CL,176000,0
1133WBY51EJ020CL,175890,20230308
1130WBY51EJ020CL,175890,20230308
2841WBSDZ01010CE,166320,20220113
755WBY51EJ050CL6,165202,20230510
752WBY51EJ050CL6,165202,20230510
1001WBAJU410109N,153450,20230330
254WBY51EJ070CL6,143000,20230810
253WBY51EJ070CL6,143000,20230810
596WBS31BA080CJ3,142813,20230606
1031WBAJU410509P,142431,20230324
2889WBACY810209D,140800,20211227
1334WBATC610909M,137186,20230119
679WBA21EM0609N6,135791,20230522
3373WBY21CF050CM,134879,0
3372WBY21CF050CM,134879,0
1425WBATB410809M,132000,20221222
1414WBATC610809J,132000,20221227
230WBY51EJ010CL5,130665,20230814
232WBY51EJ010CL5,130665,20230814
1109SADCA2BE0MA6,127600,20230310
295WBY2Z610407F3,125532,20230801
1336WBA7R81030CG,125532,20230119
522WBY21CF040CM3,125041,20230616
523WBY21CF040CM3,125041,20230616
1479WBATB410509J,123200,20221214
20WBACY610009P33,123090,20230929
52WBSGV010X0CE23,122100,20230920
591WBS31BA080CJ3,121000,20230606
714WBY21CF090CM2,120489,20230516
715WBY21CF090CM2,120489,20230516
747WBATH410809H6,119900,20230511
2671WBACW210309E,119900,20220222
2279WBATC610909K,119889,20220518
790WBY21CF0X0CM2,119157,20230503
795WBY21CF0X0CM2,119157,20230503
796WBY21CF000CM3,118800,20230503
1255WBATC610809L,118800,20230213
797WBY21CF000CM3,118800,20230503
2151WBAGT810209L,118789,20220615
738WBATH410609N9,118250,20230512
1410WBS31AZ000CH,117689,20221228
570WBATC610709M7,117590,20230607
702WBY21CF050CM3,115610,20230517
703WBY21CF050CM3,115610,20230517
1728WBATC610409H,115489,20220929
