fahrzeug_id,marke,modell,ps,treibstoff,preis,year
66WBA85DP030N204,BMW,X3,178,Benzin,103235,20230918
2821WBSTS010909B,BMW,X3,510,Benzin,95590,20220117
2820WBSTS010909B,BMW,X3,510,Benzin,92937,20220117
1818WBA31CH040CJ,BMW,5er-Reihe,286,Diesel,88206,20220907
1283WBA31AJ0X0CL,BMW,5er-Reihe,286,Diesel,87890,20230207
2809WBA51DZ060FJ,BMW,3er-Reihe,340,Diesel,86790,20220120
399WBA31AJ070CL2,BMW,5er-Reihe,286,Diesel,86438,20230707
1411WBA31CH0X0CL,BMW,5er-Reihe,286,Hybrid,86350,20221228
2555WBA31AJ05MCG,BMW,5er-Reihe,286,Diesel,85668,20220317
1212WBA31AJ010CK,BMW,5er-Reihe,288,Diesel,84150,20230222
786WBA51AJ060CK0,BMW,5er-Reihe,340,Diesel,83634,20230504
1654WBA31CH030CJ,BMW,5er-Reihe,286,Hybrid,82500,20221017
113WBA31CH090CL7,BMW,5er-Reihe,286,Hybrid,82038,20230912
1263WBA31AH080CL,BMW,5er-Reihe,285,Diesel,81697,20230210
120WBA85BZ070N18,BMW,X3,286,Diesel,80289,20230908
1562WBA31CG0X0CK,BMW,5er-Reihe,292,Elektro,79200,20221117
928WBA85BZ05NN12,BMW,X3,286,Diesel,78397,20230407
857WBA31AJ020CL1,BMW,5er-Reihe,286,Diesel,77990,20230421
536WBA61DP0009M9,BMW,X3,184,Elektro,77452,20230614
2720WBAUZ9505MN0,BMW,X3,286,Diesel,77000,20220214
375WBA6N11030FM5,BMW,3er-Reihe,374,Benzin,77000,20230713
1100WBA31CG030CL,BMW,5er-Reihe,184,Hybrid,76978,20230313
1012WBA11BZ0909M,BMW,X3,190,Diesel,76868,20230329
685WBA31AJ010CL9,BMW,5er-Reihe,286,Diesel,76175,20230522
2674WBAUZ9506MN0,BMW,X3,286,Diesel,76120,20220222
2892WBAUZ9509MN0,BMW,X3,286,Diesel,75900,20211216
828WBA31CG010CL5,BMW,5er-Reihe,184,Hybrid,75860,20230427
197WBA6N11060FL8,BMW,3er-Reihe,374,Benzin,75449,20230823
1401WBA31CG040CK,BMW,5er-Reihe,184,Hybrid,75423,20221230
2907WBA51AJ0X0CG,BMW,5er-Reihe,340,Diesel,75350,20211014
1262WBA31AH080CL,BMW,5er-Reihe,285,Diesel,75339,20230210
1137WBA51BN000CJ,BMW,5er-Reihe,190,Diesel,74789,20230307
2466WBA31CG040CG,BMW,5er-Reihe,184,Elektro,74712,20220405
447WBA11BZ0209M6,BMW,X3,190,Diesel,74250,20230629
664WBA55DP090N16,BMW,X3,245,Benzin,73676,20230524
5WBA85BZ010N1810,BMW,X3,286,Diesel,73124,20231006
1800WBA51DZ0X0FM,BMW,3er-Reihe,340,Diesel,72589,20220909
388WBA61DP0509P5,BMW,X3,292,Benzin,72050,20230711
2237WBA31AH080CK,BMW,5er-Reihe,286,Diesel,71940,20220525
2236WBA31AH080CK,BMW,5er-Reihe,286,Diesel,71500,20220525
3036WBA6N11070FJ,BMW,3er-Reihe,374,Benzin,71500,20200416
1156WBA51BL060WX,BMW,5er-Reihe,190,Diesel,71500,20230303
1240WBAUZ9504MN1,BMW,X3,286,Diesel,71489,20230216
1560WBA15BZ070N1,BMW,X3,190,Diesel,71489,20221117
1721WBA61DP0209L,BMW,X3,184,Hybrid,71393,20220930
1787WBA51BL040CJ,BMW,5er-Reihe,190,Diesel,71390,20220913
1637WBA51BN060CJ,BMW,5er-Reihe,190,Diesel,71390,20221021
1163WBA85BZ030N1,BMW,X3,286,Diesel,71390,20230303
126WBA31AH02NCK2,BMW,5er-Reihe,285,Diesel,71390,20230908
356WBA31AJ080CH2,BMW,5er-Reihe,285,Diesel,70884,20230719
125WBA61DP0109R1,BMW,X3,184,Hybrid,70840,20230908
1656WBA31CG090CK,BMW,5er-Reihe,184,Benzin,70701,20221017
1265WBAUZ950XMN0,BMW,X3,285,Diesel,70532,20230210
2325WBAUZ9509MN0,BMW,X3,285,Diesel,70400,20220511
2137WBA61DP0809K,BMW,X3,292,Benzin,70389,20220620
1658WBA15BZ020N1,BMW,X3,190,Diesel,70389,20221014
751WBA15BZ090N17,BMW,X3,190,Diesel,70290,20230511
565WBA15BZ020N13,BMW,X3,190,Diesel,70290,20230609
1523WBA15BZ080N1,BMW,X3,190,Diesel,70290,20221130
1261WBA61DP0409M,BMW,X3,184,Hybrid,70169,20230213
1960WBAUZ9507MN0,BMW,X3,285,Diesel,69850,20220729
834WBA31CG030CL8,BMW,5er-Reihe,292,Hybrid,69850,20230427
1475WBA61DP0409M,BMW,X3,184,Hybrid,69625,20221214
2016WBAUZ9501MN0,BMW,X3,286,Diesel,69300,20220718
2070WBA51BN020CG,BMW,5er-Reihe,190,Diesel,69256,20220706
2496WBA51BN02NCH,BMW,5er-Reihe,190,Diesel,68728,20220331
21WBA51BL020WX86,BMW,5er-Reihe,190,Diesel,68618,20230929
162WBA51BN0X0CL7,BMW,5er-Reihe,190,Diesel,68200,20230830
1586WBA15BZ010N1,BMW,X3,190,Diesel,68200,20221110
2123WBATX75020N0,BMW,X3,265,Diesel,67650,20220622
1488WBA15BZ090N1,BMW,X3,190,Diesel,67650,20221212
2096WBA51BN09NCH,BMW,5er-Reihe,190,Diesel,67639,20220629
1363WBA15BZ080N1,BMW,X3,190,Diesel,67628,20230112
211WBA31AJ050CL9,BMW,5er-Reihe,258,Diesel,67600,20230821
2144WBA61DP0009J,BMW,X3,184,Hybrid,67416,20220615
711WBA51BL040CM2,BMW,5er-Reihe,190,Diesel,67100,20230516
785WBA31CG010CM2,BMW,5er-Reihe,292,Benzin,67100,20230504
2366WBA31BG0609H,BMW,X3,190,Diesel,66660,20220428
360WBA61EE0X05V9,BMW,X1,204,Benzin,66550,20230718
1756WBA31BG0909H,BMW,X3,190,Diesel,66550,20220922
1178WBA31CG040CL,BMW,5er-Reihe,177,Hybrid,66522,20230301
1119WBA71CY0X0FN,BMW,3er-Reihe,184,Hybrid,66440,20230309
1641WBA61DP0609M,BMW,X3,183,Hybrid,66000,20221020
2544WBA35BG010N1,BMW,X3,190,Diesel,66000,20220318
906WBA15BZ0X0N13,BMW,X3,190,Diesel,66000,20230413
2198WBA6N71050FK,BMW,3er-Reihe,184,Hybrid,65989,20220607
1019WBA11CH080CM,BMW,5er-Reihe,292,Benzin,65989,20230327
1039WBA51BN030CM,BMW,5er-Reihe,190,Diesel,65890,20230323
1419WBA11BZ0109L,BMW,X3,190,Diesel,65890,20221223
1833WBA11CH050CJ,BMW,5er-Reihe,184,Hybrid,65890,20220906
778WBA51BL090WX7,BMW,5er-Reihe,190,Diesel,65890,20230505
2232WBA6K7102MFK,BMW,3er-Reihe,258,Benzin,65890,20220527
1171WBA61DP0909M,BMW,X3,184,Hybrid,65890,20230302
2767WBA11AH010CF,BMW,5er-Reihe,286,Diesel,65868,20220131
2468WBA35BG080N1,BMW,X3,185,Diesel,65868,20220404
1304WBA51BN00NCH,BMW,5er-Reihe,190,Diesel,65769,20230130
1856WBA51BN00MCH,BMW,5er-Reihe,190,Diesel,65450,20220830
1509WBA15BZ020N1,BMW,X3,190,Diesel,65450,20221206
2021WBATS110709H,BMW,X3,184,Hybrid,65450,20220715
2361WBA6N5104MFL,BMW,3er-Reihe,286,Diesel,65344,20220428
682WBA15BZ050N15,BMW,X3,622,Benzin,64955,20230522
2303WBA6N5108MFL,BMW,3er-Reihe,286,Diesel,64900,20220513
637WBA71CY040FN8,BMW,3er-Reihe,184,Hybrid,64899,20230531
2521WBA6N5100MFL,BMW,3er-Reihe,286,Diesel,64889,20220325
849WBA15BZ010N13,BMW,X3,190,Diesel,64889,20230424
1335WBA15BZ020N1,BMW,X3,190,Diesel,64889,20230119
782WBA61EE0405V9,BMW,X1,204,Benzin,64845,20230505
2258WBA5Y11070FK,BMW,3er-Reihe,286,Diesel,64845,20220523
1550WBA11BZ0909K,BMW,X3,190,Diesel,64735,20221124
1884WBA51AH080CK,BMW,5er-Reihe,340,Diesel,64706,20220822
2768WBA11CH070CH,BMW,5er-Reihe,184,Hybrid,64350,20220131
1795WBA61DP0709J,BMW,X3,184,Hybrid,64350,20220912
